     D_b (m),      t_0(s),qw_pp(w/m^2),      dtw(K),      t_w(s),    n(1/m^2),   theta_exp,   theta_cal,       Error,          U0,          xi
  2.2634e-03,  9.4279e-02,  4.3248e+04,  8.1646e+00,  8.9827e-02,  3.7572e+04,  1.1093e-01,  1.2429e-01,  1.2043e-01,  4.1209e-01,  2.5000e-05
  1.6559e-03,  2.9722e-02,  9.0701e+04,  8.7342e+00,  2.6352e-02,  1.1850e+05,  7.7344e-02,  5.8441e-02,  2.4440e-01,  1.6886e+00,  2.5000e-05
  1.4323e-03,  2.0340e-02,  2.4561e+05,  1.0000e+01,  1.7186e-02,  1.7341e+05,  3.7808e-02,  4.7607e-02,  2.5918e-01,  2.5857e+00,  2.5000e-05
  1.2758e-03,  1.2683e-02,  4.9748e+05,  1.1519e+01,  9.9417e-03,  2.9769e+05,  2.4139e-02,  3.2108e-02,  3.3013e-01,  5.1803e+00,  2.5000e-05
  9.4783e-04,  1.2273e-02,  7.4985e+05,  1.3354e+01,  9.4310e-03,  5.7514e+05,  2.4990e-02,  3.1978e-02,  2.7961e-01,  1.0336e+01,  2.5000e-05
  7.2422e-04,  1.1290e-02,  8.9908e+05,  1.3418e+01,  8.4505e-03,  6.6763e+05,  2.7407e-02,  4.0913e-02,  4.9279e-01,  9.8768e+00,  2.5000e-05
  8.6584e-04,  6.8790e-02,  4.4367e+04,  7.7215e+00,  6.5798e-02,  1.2428e+05,  2.6733e-01,  2.0936e-01,  2.1686e-01,  9.4834e-01,  2.5000e-05
  1.0224e-03,  4.1161e-02,  9.5372e+04,  9.3671e+00,  3.8354e-02,  1.8497e+05,  1.2777e-01,  1.0394e-01,  1.8651e-01,  2.0333e+00,  2.5000e-05
  1.0671e-03,  2.5298e-02,  1.9523e+05,  1.1709e+01,  2.2434e-02,  3.4104e+05,  7.4752e-02,  5.3664e-02,  2.8210e-01,  5.3131e+00,  2.5000e-05
  1.1677e-03,  1.8696e-02,  2.9495e+05,  1.2215e+01,  1.5690e-02,  4.8266e+05,  4.7171e-02,  3.2776e-02,  3.0515e-01,  9.7889e+00,  2.5000e-05
  1.0745e-03,  1.4559e-02,  4.9808e+05,  1.3038e+01,  1.1825e-02,  5.8092e+05,  3.2400e-02,  2.8953e-02,  1.0640e-01,  1.1894e+01,  2.5000e-05
  7.7267e-04,  1.0908e-02,  8.9891e+05,  1.4177e+01,  7.9540e-03,  9.5087e+05,  2.7148e-02,  2.9248e-02,  7.7366e-02,  1.7911e+01,  2.5000e-05
  7.8385e-04,  2.5909e-02,  4.4617e+04,  6.8987e+00,  2.2068e-02,  2.3699e+05,  2.6235e-01,  1.0333e-01,  6.0613e-01,  2.2609e+00,  2.5000e-05
  9.2174e-04,  5.6502e-02,  9.5665e+04,  8.6076e+00,  5.3277e-02,  3.2659e+05,  1.2983e-01,  1.0106e-01,  2.2158e-01,  4.3008e+00,  2.5000e-05
  8.5093e-04,  2.1505e-02,  2.9298e+05,  9.3038e+00,  1.8648e-02,  6.5607e+05,  4.9634e-02,  4.5401e-02,  8.5278e-02,  1.1305e+01,  2.5000e-05
  8.2857e-04,  1.5068e-02,  4.9590e+05,  1.0949e+01,  1.2357e-02,  9.3064e+05,  3.5442e-02,  3.1539e-02,  1.1011e-01,  1.8597e+01,  2.5000e-05
  8.3230e-04,  1.2099e-02,  6.9877e+05,  1.2595e+01,  9.4325e-03,  1.1329e+06,  2.8803e-02,  2.4692e-02,  1.4273e-01,  2.5092e+01,  2.5000e-05
  8.7702e-04,  1.3076e-02,  9.0150e+05,  1.3354e+01,  1.0374e-02,  1.2254e+06,  2.2465e-02,  2.2603e-02,  6.1731e-03,  2.9743e+01,  2.5000e-05
